Word,First mention,IsInDexOrNot,Region,Meaning,IsItUsedNow,UsageCoefficient
Motoc,,,,,,
Oghialas,,,,,,
Pelinci,,,,,,
Fasa,,,,,,
Covatica,,,,,,
Plumb,,,,,,
Plumbuera,,,,,,
De rand,,,,,,
Amnar,,,,,,
Sal,,,,,,
Badir,,,,,,
Casanca,,,,,,
Bariz,,,,,,
Buhan,,,,,,
Polca,,,,,,
Pachesti,,,,,,
Cusma,,,,,,
Coltuni,,,,,,
Stative,,,,,,
Stative,,,,,,
Vatala,,,,,,
Spata,,,,,,
Ite,,,,,,
Depanatoare,,,,,,
Melitoi,,,,,,
Melita,,,,,,
Tagie,,,,,,
Suveica,,,,,,
Dimerlie,,,,,,
Siac,,,,,,
Opait,,,,,,
Carligas,,,,,,
Carlig,,,,,,
Coromasla,,,,,,
Cortel,,,,,,
Chersan,,,,,,
Paritari,,,,,,
Zavor (la tesut),,,,,,
Lupatica,,,,,,
Sul,,,,,,
Nividet,,,,,,
Huludet,,,,,,
Slobozitor,,,,,,
Scacita,,,,,,
Badarau,,,,,,
Covas,,,,,,
Braha,,,,,,
Chirpici,,,,,,
Valatuci,,,,,,
Laita,,,,,,
Cruci,,,,,,
Pop,,,,,,
Fofeaza,,,,,,
Prajina,,,,,,
Sura,,,,,,
Magla,,,,,,
Tabachera,,,,,,
Cufar,,,,,,
Malai,,,,,,
Lesie,,,,,,
Zolit,,,,,,
Rasnita,,,,,,
Tapoi,,,,,,
Tonc,,,,,,
Bestie,,,,,,
Car,,,,,,
Protap,,,,,,
Jug,,,,,,
Rasteu,,,,,,
Tioc,,,,,,
Tanjala,,,,,,
Otic,,,,,,
Zamnic,,,,,,
Tivnita,,,,,,
Hasa,,,,,,
Albita,,,,,,
Doc,,,,,,
Caus,,,,,,
Causel,,,,,,
Ciupici,,,,,,
Bluzon,,,,,,
Ochinci,,,,,,
Ogmele,,,,,,
Ate de par,,,,,,
Cultuc,,,,,,
Rogojina,,,,,,
Hornoaica,,,,,,
Laturasi,,,,,,
Pestelca,,,,,,
Tarabonta,,,,,,
Trinar,,,,,,
Imblaciu,,,,,,
Racla,,,,,,
Mihaidean,,,,,,
Toloaca,,,,,,
Parloaga,,,,,,
In parte,,,,,,
Dijma,,,,,,
Miriste,,,,,,
Tocila,,,,,,
Buduroi,,,,,,
Miriste,,,,,,
Tocila,,,,,,
Buduroi,,,,,,
Brici,,,,,,
Tasca,,,,,,
Tavalug,,,,,,
Puzderie,,,,,,
Fantana cu cumpana,,,,,,
Bleasca,,,,,,
Dughiana,,,,,,
Cooperativa,,,,,,
Barabaule,,,,,,
Bazoane,,,,,,
Curechi,,,,,,
Patlagele,,,,,,
Trasca,,,,,,
Jacheta,,,,,,
Gaz,,,,,,
A pasui,,,,,,
Patasca,,,,,,
Mutelca,,,,,,
Ogiag,,,,,,
Nasalie,,,,,,
Tuhal,,,,,,
Priboi,,,,,,
Cutitoae,,,,,,